,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
77,13422.0,2078339.0,2013-03-08,4008404337,2013-01-05,29.0,7,6,67,137,62.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,257.0,0.0,0.0,0.0
78,10243.0,2076261.0,2013-02-04,4008435990,2013-01-05,33.0,6,6,56,17,30.0,1,1,2013.0,1.0,5.0,1,0.0,0.0,1.0,155.0,0.0,0.0,0.0
79,13091.0,2076981.0,2013-02-15,4008405031,2013-01-05,47.0,10,6,56,88,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,133.0,0.0,0.0,0.0
80,11939.0,2076935.0,2013-02-14,4008425704,2013-01-05,67.0,9,6,2,31,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,402.43,0.0,0.0,0.0
81,11532.0,2077458.0,2013-02-21,4008469648,2013-01-05,53.0,5,6,56,44,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,135.0,0.0,0.0,0.0
82,3330.0,2076981.0,2013-02-15,4008460463,2013-01-05,159.95,10,6,56,89,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,159.95,0.0,0.0,0.0
83,6479.0,2076261.0,2013-02-04,4008455588,2013-01-05,155.0,6,6,56,17,30.0,1,1,2013.0,1.0,5.0,1,0.0,0.0,1.0,33.0,0.0,0.0,0.0
84,12535.0,2076935.0,2013-02-14,4008695515,2013-01-05,18.0,4,6,56,38,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,636.0,0.0,0.0,0.0
85,3387.0,2076981.0,2013-02-15,4008434772,2013-01-05,165.0,2,6,56,3,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,6476.0,2076935.0,2013-02-14,4008673521,2013-01-05,175.0,4,6,56,38,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,479.0,0.0,0.0,0.0
87,3587.0,2076935.0,2013-02-14,4008474288,2013-01-05,290.0,9,6,2,50,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,327.0,0.0,0.0,0.0
88,10468.0,2076981.0,2013-02-15,4008392554,2013-01-05,94.09,10,6,56,45,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,3702.0,2076742.0,2013-02-12,4008409243,2013-01-05,61.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,476.0,0.0,0.0,0.0
90,10265.0,2076742.0,2013-02-12,4008467281,2013-01-05,45.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,492.0,0.0,0.0,0.0
91,1081.0,2076742.0,2013-02-12,4008409210,2013-01-05,45.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,492.0,0.0,0.0,0.0
92,6499.0,2077458.0,2013-02-21,4008468460,2013-01-05,155.0,6,6,56,22,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,20.0,0.0,0.0,0.0
93,9004.0,2076981.0,2013-02-15,4008443809,2013-01-05,20.0,10,6,56,88,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,160.0,0.0,0.0,0.0
