,Supplier Name,Supplier Number,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Po Number,Receipt Number,Department,Account Description,Fund Description,Cost Center Description,Minority Owned,Small Business,Women Owned,City,State,Zip,Country,Vendor Id,Days to Pay,Compliant Indicator
274518,Canon Solutions America,866161,2210421,09/08/2020 12:00:00 AM,21832554,08/31/2020 12:00:00 AM,155.99,552282.0,295966.0,Youth & Family Development,Office Machine Rental,General Fund,Office of Early Learning,No,No,No,"Chicago,","IL,",60693-0149,US,190422,8,Yes
274540,Canon Solutions America,866161,2159795,05/18/2017 12:00:00 AM,17256882,04/30/2017 12:00:00 AM,167.76,526878.0,168153.0,General Services,Office Machine Rental,General Fund,General Services Admin,No,No,No,"Chicago,","IL,",60693,US,190422,18,Yes
274550,Canon Solutions America,866161,2213851,01/05/2021 12:00:00 AM,21832559,08/31/2020 12:00:00 AM,123.6,552282.0,307526.0,General Gov't & Agencies,Office Machine Rental,Public Library,Library - Avondale Branch,No,No,No,"Chicago,","IL,",60693-0149,US,190422,127,No
274571,Canon Solutions America,866161,2216294,03/18/2021 12:00:00 AM,26421240,03/13/2021 12:00:00 AM,82.75,552282.0,315306.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Hixson,No,No,No,"Chicago,","IL,",60693-0149,US,190422,5,Yes
274579,Canon Solutions America,866161,2119439,03/31/2015 12:00:00 AM,4015348579,03/01/2015 12:00:00 AM,146.0,526312.0,107766.0,Transportation,Office Machine Rental,General Fund,Traffic Operations,No,No,No,"Chicago,","IL,",60693,US,190422,30,Yes
274598,Canon Solutions America,866161,2214285,01/19/2021 12:00:00 AM,21948045,09/30/2020 12:00:00 AM,27.7,560120.0,308866.0,Public Works,Office Machine Rental,Municipal Garage,Rep & Maint - Amnicola Garage,No,No,No,"Chicago,","IL,",60693-0149,US,190422,111,No
274621,Canon Solutions America,866161,2161940,06/30/2017 12:00:00 AM,17440832,06/12/2017 12:00:00 AM,62.37,526878.0,171991.0,General Gov't & Agencies,Office Machine Rental,General Fund,311 Call Center,No,No,No,"Chicago,","IL,",60693,US,190422,18,Yes
274663,Canon Solutions America,866161,2169844,12/20/2017 12:00:00 AM,17900638,10/31/2017 12:00:00 AM,69.48,526878.0,185357.0,Youth & Family Development,Office Machine Rental,2018 Head Start,Head Start Centers,No,No,No,"Chicago,","IL,",60693-0149,US,190422,50,No
274812,Canon Solutions America,866161,2201107,12/18/2019 12:00:00 AM,20808141,11/30/2019 12:00:00 AM,41.55,552282.0,268860.0,Youth & Family Development,Office Machine Rental,2020 Head Start,Head Start Centers,No,No,No,"Chicago,","IL,",60693-0149,US,190422,18,Yes
274864,Canon Solutions America,866161,2215279,02/18/2021 12:00:00 AM,26257218,02/09/2021 12:00:00 AM,82.75,552282.0,312146.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - North Chattanooga,No,No,No,"Chicago,","IL,",60693-0149,US,190422,9,Yes
274895,Canon Solutions America,866161,2093225,11/11/2013 12:00:00 AM,4011201871,11/01/2013 12:00:00 AM,234.0,519302.0,74963.0,Public Works,Equipment Rental,General Fund,CWS Admin,No,No,No,"Chicago,","IL,",60693,US,190422,10,Yes
274978,Canon Solutions America,866161,2211647,10/20/2020 12:00:00 AM,21947991,09/30/2020 12:00:00 AM,140.54,552282.0,300338.0,Police,Office Machine Rental,General Fund,Chief of Police,No,No,No,"Chicago,","IL,",60693-0149,US,190422,20,Yes
275002,Canon Solutions America,866161,2083062,05/22/2013 12:00:00 AM,4009535252,05/01/2013 12:00:00 AM,229.27,519417.0,64821.0,Human Services,Equipment Rental,2013 Head Start,Early Head Start,No,No,No,"Chicago,","IL,",60693,US,190422,21,Yes
275009,Canon Solutions America,866161,2154210,01/26/2017 12:00:00 AM,16837814,12/31/2016 12:00:00 AM,167.76,526878.0,158238.0,General Services,Office Machine Rental,General Fund,General Services Admin,No,No,No,"Chicago,","IL,",60693,US,190422,26,Yes
275012,Canon Solutions America,866161,2190782,04/15/2019 12:00:00 AM,19909128,03/31/2019 12:00:00 AM,41.55,526878.0,241697.0,Youth & Family Development,Office Machine Rental,2019 Head Start,Head Start Centers,No,No,No,"Chicago,","IL,",60693-0149,US,190422,15,Yes
275050,Canon Solutions America,866161,2117326,02/20/2015 12:00:00 AM,4015094989,02/01/2015 12:00:00 AM,45.0,527619.0,105108.0,General Gov't & Agencies,Equipment Rental,Public Library,Library - Downtown Branch-Central Office,No,No,No,"Chicago,","IL,",60693,US,190422,19,Yes
